Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,days_count
1,0,0,2.0,3.0,3.8,0.16,4478
0,0,1,1.0,2.0,5.0,0.36,4417
0,0,1,1.0,1.0,2.6,0.2,4444
1,0,0,3.0,7.0,6.9,0.52,4546
0,1,1,2.0,4.0,3.6,0.29,4421
1,0,0,3.0,6.0,7.9,0.62,4750
1,0,1,2.0,4.0,4.4,0.33,4447
0,1,1,2.0,3.0,5.3,0.5,4676
0,0,1,0.0,1.0,1.8,0.12,4619
0,1,1,1.0,3.0,5.8,0.51,4617
1,0,1,3.0,5.0,4.7,0.32,4718
0,0,1,1.0,2.0,5.9,0.39,4675
0,0,0,3.0,6.0,6.7,0.59,4664
1,1,1,2.0,4.0,4.0,0.22,4602
0,1,0,2.0,4.0,7.6,0.57,4508
0,0,1,1.0,3.0,6.3,0.47,4737
0,0,1,1.0,3.0,6.7,0.46,4627
0,0,0,2.0,4.0,6.6,0.44,4467
1,0,0,2.0,4.0,7.4,0.6,4490
1,0,0,2.0,5.0,6.7,0.46,4492
1,1,1,1.0,2.0,3.6,0.2,4619
1,0,1,1.0,2.0,3.9,0.2,4401
1,0,0,0.0,1.0,3.0,0.19,4467
0,0,0,1.0,3.0,4.7,0.31,4682
0,1,0,4.0,8.0,8.7,0.81,4628
0,0,1,3.0,5.0,4.4,0.39,4535
1,0,1,3.0,6.0,5.8,0.42,4539
1,1,1,0.0,2.0,3.9,0.19,4583
1,0,1,3.0,7.0,6.6,0.56,4633
1,0,0,4.0,7.0,7.3,0.53,4448
1,1,1,1.0,3.0,5.4,0.33,4578
0,0,0,2.0,5.0,5.0,0.45,4703
1,0,1,2.0,3.0,6.0,0.36,4576
1,0,1,3.0,6.0,7.5,0.59,4409
0,0,0,4.0,10.0,10.0,0.94,4650
1,1,1,1.0,3.0,6.0,0.37,4511
0,0,0,2.0,6.0,7.4,0.65,4671
1,0,1,2.0,5.0,6.4,0.49,4548
0,0,1,1.0,3.0,5.6,0.38,4729
0,1,0,2.0,5.0,7.4,0.62,4469
1,1,1,3.0,5.0,6.1,0.39,4498
1,1,1,2.0,4.0,3.1,0.15,4605
0,0,0,2.0,5.0,8.0,0.61,4395
1,1,0,1.0,2.0,4.0,0.26,4653
1,0,0,2.0,2.0,3.6,0.28,4395
0,1,1,2.0,5.0,8.7,0.71,4696
1,0,0,3.0,5.0,6.8,0.57,4744
1,0,1,2.0,3.0,4.9,0.39,4427
1,1,0,3.0,6.0,7.9,0.61,4497
0,1,0,3.0,6.0,7.6,0.62,4589
1,0,0,5.0,9.0,9.2,0.8,4693
0,0,1,4.0,6.0,6.5,0.63,4628
1,0,0,3.0,5.0,6.8,0.6,4519
1,1,0,4.0,8.0,8.7,0.79,4460
0,0,1,2.0,5.0,6.2,0.39,4525
1,0,0,3.0,5.0,5.8,0.36,4744
1,1,0,2.0,4.0,6.6,0.5,4553
0,1,0,4.0,7.0,8.2,0.72,4497
1,0,1,2.0,3.0,4.9,0.34,4565
1,0,0,1.0,2.0,4.1,0.27,4717
0,0,0,3.0,7.0,7.4,0.66,4538
0,0,1,1.0,2.0,4.4,0.27,4610
1,0,0,2.0,6.0,6.9,0.67,4421
1,1,1,1.0,2.0,5.3,0.38,4457
1,0,1,2.0,2.0,4.3,0.28,4673
0,1,1,0.0,1.0,0.8,0.05,4481
1,0,1,2.0,4.0,2.9,0.22,4664
1,0,1,1.0,3.0,5.0,0.39,4680
0,0,1,1.0,4.0,6.9,0.52,4611
1,0,0,3.0,5.0,4.7,0.39,4491
1,0,0,1.0,3.0,2.0,0.11,4708
1,0,0,2.0,4.0,5.4,0.44,4489
0,1,0,2.0,5.0,6.1,0.5,4567
1,1,1,1.0,4.0,5.1,0.41,4451
